ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
3,1,10/16/2018,22:36:00,10/17/2018,06:35:00,479
3,2,10/17/2018,22:52:00,10/18/2018,06:51:00,479
3,3,10/18/2018,23:15:00,10/19/2018,09:54:00,639
3,4,10/20/2018,00:39:00,10/20/2018,06:27:00,348
3,5,10/21/2018,00:42:00,10/21/2018,07:32:00,410
3,6,10/21/2018,22:30:00,10/22/2018,07:39:00,549
3,7,10/22/2018,21:46:00,10/23/2018,08:17:00,631
3,8,10/23/2018,22:20:00,10/24/2018,07:55:00,575
3,9,10/24/2018,23:15:00,10/25/2018,07:13:00,478
3,10,10/25/2018,21:51:00,10/26/2018,06:58:00,547
3,11,10/26/2018,21:29:00,10/27/2018,07:49:00,620
3,12,10/27/2018,21:59:00,10/28/2018,06:18:00,499
3,13,10/28/2018,20:35:00,10/29/2018,07:12:00,637
3,14,10/30/2018,00:42:00,10/30/2018,07:43:00,421
3,15,10/30/2018,23:05:00,10/31/2018,05:58:00,413
3,16,10/31/2018,22:14:00,11/1/2018,07:01:00,527
3,17,11/1/2018,22:59:00,11/2/2018,08:00:00,541
3,18,11/3/2018,02:14:00,11/3/2018,07:15:00,301
3,19,11/3/2018,22:29:00,11/4/2018,08:12:00,583
3,20,11/4/2018,21:58:00,11/5/2018,07:47:00,589
3,21,11/5/2018,22:52:00,11/6/2018,07:01:00,489
3,22,11/6/2018,22:04:00,11/7/2018,07:48:00,584
3,23,11/7/2018,21:49:00,11/8/2018,05:56:00,487
3,24,11/8/2018,23:33:00,11/9/2018,07:07:00,454
3,25,11/9/2018,21:51:00,11/10/2018,06:44:00,533
3,26,11/10/2018,21:37:00,11/11/2018,06:12:00,515
3,27,11/11/2018,23:34:00,11/12/2018,05:58:00,384
3,28,11/13/2018,22:28:00,11/14/2018,07:09:00,521
3,29,11/14/2018,22:34:00,11/15/2018,05:54:00,440
3,30,11/15/2018,23:02:00,11/16/2018,06:50:00,468
3,31,11/16/2018,23:32:00,11/17/2018,05:52:00,380
3,32,11/17/2018,23:31:00,11/18/2018,09:24:00,593
3,33,11/18/2018,23:35:00,11/19/2018,07:21:00,466
3,34,11/19/2018,22:38:00,11/20/2018,06:18:00,460
3,35,11/20/2018,23:28:00,11/21/2018,06:49:00,441
3,36,11/21/2018,22:28:00,11/22/2018,06:38:00,490
3,37,11/22/2018,23:43:00,11/23/2018,08:51:00,548
3,38,11/23/2018,23:14:00,11/24/2018,07:03:00,469
3,39,11/25/2018,00:02:00,11/25/2018,05:27:00,325
3,40,11/25/2018,22:54:00,11/26/2018,04:57:00,363
3,41,11/26/2018,21:36:00,11/27/2018,06:53:00,557
3,42,11/27/2018,23:43:00,11/28/2018,07:38:00,475
3,43,11/28/2018,22:33:00,11/29/2018,06:56:00,503
3,44,11/30/2018,22:50:00,12/1/2018,06:47:00,477
3,45,12/1/2018,22:13:00,12/2/2018,06:16:00,483
3,46,12/2/2018,21:55:00,12/3/2018,06:52:00,537
3,47,12/3/2018,21:46:00,12/4/2018,06:58:00,552
3,48,12/4/2018,21:52:00,12/5/2018,07:36:00,584
3,49,12/5/2018,22:10:00,12/6/2018,07:35:00,565
3,50,12/6/2018,22:38:00,12/7/2018,07:33:00,535
3,51,12/7/2018,21:49:00,12/8/2018,06:52:00,543
3,52,12/8/2018,22:21:00,12/9/2018,05:32:00,431
3,53,12/9/2018,22:02:00,12/10/2018,07:28:00,566
3,54,12/10/2018,22:03:00,12/11/2018,05:35:00,452
3,55,12/11/2018,22:26:00,12/12/2018,06:23:00,477
3,56,12/12/2018,22:08:00,12/13/2018,05:10:00,422
3,57,12/13/2018,21:00:00,12/14/2018,06:21:00,561
5,1,10/16/2018,22:34:00,10/17/2018,06:59:00,505
5,2,10/18/2018,00:15:00,10/18/2018,06:21:00,366
5,3,10/19/2018,00:49:00,10/19/2018,09:29:00,520
5,4,10/19/2018,23:41:00,10/20/2018,07:17:00,456
5,5,10/21/2018,01:01:00,10/21/2018,08:05:00,424
5,6,10/21/2018,23:40:00,10/22/2018,08:29:00,529
5,7,10/23/2018,01:03:00,10/23/2018,07:12:00,369
5,8,10/23/2018,23:18:00,10/24/2018,09:40:00,622
5,9,10/27/2018,00:00:00,10/27/2018,08:24:00,504
5,10,10/31/2018,02:18:00,10/31/2018,06:52:00,274
5,11,10/31/2018,22:48:00,11/1/2018,08:15:00,567
5,12,11/1/2018,22:37:00,11/2/2018,09:58:00,681
5,13,11/2/2018,22:45:00,11/3/2018,07:19:00,514
5,14,11/4/2018,00:27:00,11/4/2018,07:30:00,423
5,15,11/4/2018,23:37:00,11/5/2018,08:43:00,546
5,16,11/5/2018,22:21:00,11/6/2018,06:40:00,499
5,17,11/6/2018,22:16:00,11/7/2018,08:24:00,608
5,18,11/7/2018,22:57:00,11/8/2018,06:52:00,475
5,19,11/9/2018,01:13:00,11/9/2018,06:05:00,292
5,20,11/9/2018,21:08:00,11/10/2018,07:32:00,624
5,21,11/11/2018,00:19:00,11/11/2018,03:19:00,180
5,22,11/11/2018,23:13:00,11/12/2018,06:44:00,451
5,23,11/13/2018,22:11:00,11/14/2018,07:03:00,532
5,24,11/15/2018,00:10:00,11/15/2018,05:54:00,344
5,25,11/16/2018,00:01:00,11/16/2018,06:14:00,373
5,26,11/16/2018,22:52:00,11/17/2018,07:28:00,516
5,27,11/17/2018,23:47:00,11/18/2018,05:55:00,368
5,28,11/18/2018,23:06:00,11/19/2018,07:53:00,527
5,29,11/20/2018,01:04:00,11/20/2018,06:01:00,297
5,30,11/20/2018,22:42:00,11/21/2018,08:03:00,561
5,31,11/21/2018,21:36:00,11/22/2018,06:40:00,544
5,32,11/22/2018,23:42:00,11/23/2018,07:25:00,463
5,33,11/23/2018,23:19:00,11/24/2018,07:19:00,480
5,34,11/25/2018,00:01:00,11/25/2018,05:18:00,317
5,35,11/25/2018,23:51:00,11/26/2018,08:44:00,533
5,36,11/26/2018,21:18:00,11/27/2018,08:32:00,674
